"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Hare, Humphrey, writer, active 949-1965","person","040-001966144","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000970.0x0001c5","","Joyce, James Augustine Aloysius, author","1882-1941","person","author","Forest, Jean, writer [author] ; Joyce, James Augustine Aloysius, author, 1882-1941, http://isni.org/isni/N29264 [author] ; Perret, Jacques, writer professor at the Sorbonne [author]","","","","","","","","1961-1963","","1 item","","Music Collections. Add MS 71809","","English","HUMPHREY SEARLE COLLECTION. Vol. lxxxix. ff. 110. 330 x 205mm. 1.ff. 1-64. 'Bloomsday' by James Joyce, radio adaptation by Allan McClelland; 1961. Typescript . See also Add. 71754 ff. 51-66. 2.ff. 65-110. 'The Cello' by Jean Forest and Jacques Perret, adapted and translated by Humphrey Hare; 1963. Typescript . See also Add. 71755 ff. 64-71. includes:. f. 1 (script) James Augustine Aloysius Joyce, author: Allan McClelland, writer: Humphrey Searle's incidental music to 'Bloomsday' based on a text by James Augustine Aloysius Joyce, adapted by Allan McClelland: n.d; f. 65 (script) Jean Forest, writer: Jacques Perret, writer, professor at the Sorbonne: Humphrey Hare, writer: Humphrey Searle's incidental music to 'The Cello' based on a text by Jean Forest and Jacques Perret, adapted by Humphrey Hare: 1963",""
"Hare, John, comedian","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Harriet Shaw Weaver collection","general term","008801839","Monograph","Language material ; Text","Volume","GB7624019","","9780853532477","National Book League (Great Britain), Library","","organisation","","National Book League (Great Britain), Library [organisation]","Harriet Weaver & James Joyce : the catalogue of the Harriet Shaw Weaver collection of James Joyce housed in the library of the National Book League","","","","England","London","N.B.L","1976","","52 pages, 30 cm","016.823912","X.902/5078 ; f76/46018","","English","Cover title: Catalogue of the James Joyce collection presented to the National book League by Harriet Shaw Weaver, 1957",""
"Harrison, Mary St Leger, novelist al 'Lucas Malet'","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Harry Ransom Humanities Research Center--Catalogs","organisation","011385019","Monograph","Language material ; Text","Volume","","","9780879591052","Harry Ransom Humanities Research Center","","organisation","","Stocker, Erik Bradford [person] ; Gillespie, Michael Patrick [person] ; Harry Ransom Humanities Research Center [organisation] ; Oliphant, Dave [person]","James Joyce's Trieste library : a catalogue of materials at the Harry Ransom Humanities Research Center, the University of Texas at Austin","Catalogue of James Joyce's Trieste library","","","United States of America","Austin","Center","1986","","276 pages, facsimiles, 26 cm","016.823912","2725.e.588","","English","Spine title: A catalogue of James Joyce's Trieste library",""
"Hawthorne, Nathaniel, 1804-1864--Criticism and interpretation","person","015560071","Monograph","Language material ; Text","Volume","","","9780814211229 ; 9780814292204","Toker, Leona","","person","author","Toker, Leona, author [person]","Towards the ethics of form in fiction : narratives of cultural remission","","Theory and interpretation of narrative","","United States of America","Columbus","Ohio State University Press","2010","","x, 240 pages, 24 cm","808.8","m10/.18341","","English","",""
"Hawtrey, Charles Henry, actor, Knight 1922","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Heaney, Seamus, 1939-2013--Criticism and interpretation","person","012694851","Monograph","Language material ; Text","Volume","GBA314015","","9781856073479","Hederman, Mark Patrick","","person","","Hederman, Mark Patrick [person]","The haunted inkwell : art and our future","","","","Ireland","Dublin","Columba Press","2001","","231 pages, 22 cm","820.994170904","YC.2003.a.10971 ; m03/42792","","English","",""
"Heaney, Seamus, 1939-2013--Criticism and interpretation","person","012972579","Monograph","Language material ; Text","Volume","GBA477831","","9781930901407","Krause, David","1917-","person","","Krause, David, 1917- [person]","Revisionary views : some counter-statements about Irish life and literature","","Irish research series","27 [Irish research series]","Ireland","Dublin ; Oxford","Maunsel","2002","","xxii, 416 pages, 24 cm","820.99415","m04/33883","","English","",""
"Heaney, Seamus, 1939-2013--Criticism and interpretation","person","017083382","Monograph","Language material ; Text","Volume","","","9786062801274","Stanca, Nicoleta","","person","author","Stanca, Nicoleta, author [person]","The harp and the pen : tradition and novelty in modern Irish writing","","Filologie","","Romania","Bucureşti","Universitară","2014","2nd revised and updated edition","216 pages, 24 cm","","YD.2015.a.593","","English","",""
"Heidegger, Martin, 1889-1976--Criticism and interpretation","person","012694851","Monograph","Language material ; Text","Volume","GBA314015","","9781856073479","Hederman, Mark Patrick","","person","","Hederman, Mark Patrick [person]","The haunted inkwell : art and our future","","","","Ireland","Dublin","Columba Press","2001","","231 pages, 22 cm","820.994170904","YC.2003.a.10971 ; m03/42792","","English","",""
"Heinemann, William Henry, publisher","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Hellenism in literature","general term","009261176","Monograph","Language material ; Text","Volume","","","9780472108985","","","","","Valente, Joseph [person]","Quare Joyce","","","","United States of America","Ann Arbor","University of Michigan","1998","","x, 297 pages, 24 cm","823.912","98/24436 ; YC.1998.b.5392","","English","Includes index",""
"Hellenism in literature","general term","009890802","Monograph","Language material ; Text","Volume","","","9780813016092","Schork, R. J.","1933-","person","","Schork, R. J., 1933- [person]","Greek and Hellenic culture in Joyce","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","1998","","xvi, 322 pages, 24 cm","823.912","98/28278 ; YC.2000.a.2786","","English","bibliography: p299-310. - Includes index",""
"Hemingway, Ernest, 1899-1961--Criticism and interpretation","person","012323556","Monograph","Language material ; Text","Volume","","","9780930159009","Gajdusek, Robert E.","","person","","Gajdusek, Robert E. [person]","Hemingway and Joyce : a study in debt and payment","","","","United States of America","Corte Madera, California","Square Circle Press","1984","","","813.52","86/07121","","English","",""
"Hemingway, Ernest, 1899-1961--Criticism and interpretation","person","015646079","Monograph","Language material ; Text","Volume","","","9783826043529","Müller, Timo","","person","","Müller, Timo [person]","The self as object in modernist fiction : James, Joyce, Hemingway","","Text & theorie","Band 11 [Text & theorie]","Germany","Würzburg","Königshausen & Neumann","2010","","301 pages, 24 cm","","YD.2010.a.13181","","English","",""
"Henley, William Ernest, poet and critic, 1849-1903","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Heraldry in literature","general term","007086486","Monograph","Language material ; Text","Volume","","","9780887062698 ; 9780887062704","O'Shea, Michael J.","1955-","person","","O'Shea, Michael J., 1955- [person]","James Joyce and heraldry","","","","United States of America","Albany, New York","State University of New York","1986","","","823.912","86/22891","","English","",""
"Heraldry in literature","general term","011389264","Monograph","Language material ; Text","Volume","","","9780887062698","O'Shea, Michael J.","1955-","person","","O'Shea, Michael J., 1955- [person]","James Joyce and heraldry","","","","United States of America","Albany","State University of New York","1986","","xiv, 196 pages, coats of arms","823.912","YV.1987.b.445","","English","",""
"Herder, Johann Gottfried, 1744-1803--Criticism and interpretation","person","012463678","Monograph","Language material ; Text","Volume","","","9781892295804","Schmidt, Arno","1914-1979","person","","Schmidt, Arno, 1914-1979 [person]","Radio dialogs II","","Green integer","75 [Green integer]","Denmark","København","Green Integer","2003","","405 pages, 16 cm","","YA.2003.a.39598","","English","",""
"Herford, Charles Harold, author and critic","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Herkomer, Hubert von, Knight; painter, 1849-1914","person","040-002018016","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001250.0x0001ea","","","","","","","","","","","","","","1877-1924","","1 item","","Western Manuscripts. Add MS 45292","","Danish ; English ; Norwegian","Vol. III (ff. 333). Thomas Hardy-A. L. Kiellandt. includes:. ff. 1-32 Thomas Hardy, OM; novelist: Letters to W. Archer: 1892-1909, n.d; f. 33 John Hare, comedian: Letter to W. Archer: 1885; f. 35 Mary St Leger Harrison, novelist, alias ''Lucas Malet'': Letter to W. Archer: 1904; f. 36 Charles Henry Hawtrey, actor; Knight 1922: Letter to W. Archer: 1898; ff. 38-155 William Ernest Henley, poet and critic: Correspondence with W. Archer: 1886-1901.: Partly typewritten; ff. 131-134b William Ernest Henley, poet and critic: Prologue to ''Admiral Guinea'': 1897.: Autogr. and printed; ff. 156-219 Charles Harold Herford, author and critic: Correspondence with W. Archer: 1889-1914; ff. 208, 217, 218 Sydney Southgate Pawling, of W Heinemann, publisher: Correspondence with W. Archer: 1910-1911.: Signed; ff. 221-225 Sir Hubert von Herkomer, painter: Letters to W. Archer: 1889; f.227 Oliver Wendell Holmes, American author: Letter to W. Archer: 1877; f.229 Bronson Howard, American dramatist: Letter to W. Archer: 1891; f.231 William Dean Howells, American author: Letter to W. Archer: 1890; f. 232 Laurence Hutton, author: Letter to W. Archer: 1885; ff. 234-258b Henrik Ibsen, dramatist: Letters to W. Archer, etc.: 1889-1900.: Engl. and Norw; f. 253 William Henry Heinemann, publisher: Telegram to -: 1899; ff. 259, 260 Henry Brodribb Irving, d 1919 actor-manager: Letters to W. Archer: n.d; f. 262 Laurence Sydney Brodribb Irving, actor: Letter to W. Archer: 1905-1906; ff. 263-282 Henry James, novelist: Letters to W. Archer: 1886-1897; f. 283 Gertrude Eleanor Jennings, dramatist: Letter to W. Archer: n.d; ff. 284-327 Henry Arthur Jones, dramatist: Correspondence with W. Archer: 1889-1903; ff. 329, 330 James Augustine Aloysius Joyce, author: Letters to W. Archer: 1900; ff. 331, 333 Alexander Lange Kielland, Danish author: Letters to W. Archer: 1881, 1891.: Danish",""
"Hermetism in literature","general term","014496591","Monograph","Language material ; Text","Volume","","","9788878702349","Terrinoni, Enrico","1976-","person","","Terrinoni, Enrico, 1976- [person]","Il chiarore dell'oscurità : narrazioni parallele e possibili nell'Ulisse di James Joyce","","Piccola biblioteca joyciana","3 [Piccola biblioteca joyciana]","Italy","Roma","Bulzoni","2007","","109 pages, 19 cm","","YF.2008.a.21839 ; YF.2008.a.32624","","Italian","",""
"Hermetism in literature","general term","018479095","Monograph","Language material ; Text","Volume","","","9781433139796","Absher, Tom","1938-","person","author","Absher, Tom, 1938-, author [person]","Celebrating the sacred in ordinary life : James Joyce and the renaissance magus","","Studies on themes & motifs in literature","volume 134 [Studies on themes & motifs in literature]","United States of America","New York","Peter Lang","2017","","xxv, 124 pages, 23 cm","823.912","8491.792200","","English","",""
"Heroes in literature","general term","009404300","Monograph","Language material ; Text","Volume","GB9814466","","9780313304903","Quintelli-Neary, Marguerite","1953-","person","","Quintelli-Neary, Marguerite, 1953- [person]","Folklore and the fantastic in twelve modern Irish novels","","Contributions to the study of science fiction and fantasy","number 76 [Contributions to the study of science fiction and fantasy]","England","London ; Westport, Connecticut","Greenwood","1997","","166 pages, 22 cm","823.08766099415","YC.1998.a.1237","","English","",""
"Heroes in literature","general term","012664418","Monograph","Language material ; Text","Volume","","","9780813206714","Jordan (Richard Douglas)","","person","","Jordan (Richard Douglas) [person]","The quiet hero : figures of temperance in Spenser, Donne, Milton, and Joyce","","","","United States of America","Washington, District of Columbia","Catholic University of America Press","1989","","xiv, 226 pages, 23 cm","820.9352","YA.1992.a.9124","","English","Includes index",""
"Hibernian metropolis","general term","006350528","Monograph","Language material ; Text","Volume","","","9780814206850","","","","","Beja, Morris [person] ; Norris, David, 1944- [person]","Joyce in the Hibernian metropolis : essays","","","","United States of America","Columbus, Ohio","Ohio State University Press","1996","","xx, 312 pages, illustrations, 23 cm","823.912","96/24124","","English","",""
"Hillesum, Etty, 1914-1943--Translations--History and criticism","person","008282667","Monograph","Language material ; Text","Volume","","","","","","","","Bloemen, Henri, 1957- [person]","Wat voer taal den oak : Finnegans Wake in het Nederlands","","Filter","jaargang 9, number 3 [Filter]","Netherlands","Nijmegen","Vantilt","2002","","64 pages, illustrations, 24 cm","","YF.2007.a.229","","Dutch","",""
"Historicism","general term","009259587","Monograph","Language material ; Text","Volume","","","9780472107346","","","","","Wollaeger, Mark A., 1957- [person] ; Luftig, Victor, 1959- [person] ; Spoo, Robert [person]","Joyce and the subject of history","","","","United States of America","Ann Arbor","University of Michigan Press","1996","","vi, 248 pages, illustrations, 24 cm","823.912","97/02740 ; YC.1998.b.6275","","English","",""
"Historiography","general term","018021794","Monograph","Language material ; Text","Online resource","GBB6G5560","","9781443894166","George, Jibu Mathew","","person","author","George, Jibu Mathew, author [person]","Ulysses Quotðidiðanus : James Joyce's inverse histories of the everyday","","","","England","Newcastle upon Tyne","Cambridge Scholars","2016","","1 online resource (xxiii, 338 pages)","823.912","ELD.DS.93033","","English","",""
"Historiography","general term","019100183","Monograph","Language material ; Text","Online resource","GBB8J9996","","9783319718187","Cheng, Vincent John","1951-","person","author","Cheng, Vincent John, 1951-, author [person]","Amnesia and the nation : history, forgetting, and James Joyce","","New directions in Irish and Irish American literature","","Switzerland","Cham","Palgrave Macmillan","2018","","1 online resource","823.912","ELD.DS.344679","","English","",""
"History in literature","general term","007423528","Monograph","Language material ; Text","Volume","GB9341949","","9780820314952","Warner, John M.","1935-","person","","Warner, John M., 1935- [person]","Joyce's grandfathers : myth and history in Defoe, Smollett, Sterne, and Joyce","","","","England","Athens, Georgia ; London","University of Georgia Press","1993","","xiii, 193 pages","823.009","YC.1993.b.7299","","English","",""
"History in literature","general term","009259587","Monograph","Language material ; Text","Volume","","","9780472107346","","","","","Wollaeger, Mark A., 1957- [person] ; Luftig, Victor, 1959- [person] ; Spoo, Robert [person]","Joyce and the subject of history","","","","United States of America","Ann Arbor","University of Michigan Press","1996","","vi, 248 pages, illustrations, 24 cm","823.912","97/02740 ; YC.1998.b.6275","","English","",""
"History in literature","general term","010444874","Monograph","Language material ; Text","Volume","","","9780813018805","McGee, Patrick","1949-","person","","McGee, Patrick, 1949- [person]","Joyce beyond Marx : history and desire in Ulysses and Finnegans wake","","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","2001","","","823.912","m01/22854","","English","",""
"History in literature","general term","011970668","Monograph","Language material ; Text","Volume","GB8642975","","9780674487116","Patell, Cyrus R. K.","","person","","Patell, Cyrus R. K. [person]","Joyce's use of history in Finnegans wake","","The Lebaron Russell Briggs Prize honors essays in English 1983","","England","Cambridge, Massachusetts ; London","Department of English & American Literature & Language, Harvard University ; Harvard University","1984","","81 pages, 19 cm","823.912","X.958/32330","","English","",""
"History in literature","general term","012589490","Monograph","Language material ; Text","Volume","GB9575664","","9780195087499","Spoo, Robert","","person","","Spoo, Robert [person]","James Joyce and the language of history : Dedalus's nightmare","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1994","","x, 195 pages, 25 cm","823.912","96/15186 ; YC.1995.b.6622","","English","Includes index",""
"History in literature","general term","012663860","Monograph","Language material ; Text","Volume","GBA262129","","9780813018805","McGee, Patrick","1949-","person","","McGee, Patrick, 1949- [person]","Joyce beyond Marx : history and desire in Ulysses and Finnegans wake","","The Florida James Joyce series","","England","Gainesville, Florida","Florida ; University Press","2001","","xii, 307 pages, 24 cm","823.912","YC.2002.a.15251","","English","",""
"History in literature","general term","014647051","Monograph","Language material ; Text","Volume","GBA878007","","9780754660286","Cormack, Alistair","1970-","person","","Cormack, Alistair, 1970- [person]","Yeats and Joyce : cyclical history and the reprobate tradition","","","","England","Aldershot","Ashgate","2008","","220 pages, 25 cm","821.8","YC.2009.a.9475 ; m08/.36135","","English","",""
"History in literature","general term","016185884","Monograph","Language material ; Text","Volume","GBB2A1590","","9780199642502","Gibson, Andrew","1949-","person","","Gibson, Andrew, 1949- [person]","The strong spirit : history, politics and aesthetics in the writings of James Joyce 1898-1912","","","","England","Oxford","Oxford University Press","2013","","viii, 275 pages, 23 cm","823.912","YC.2013.a.5567 ; m13/.12741","","English","",""
